id,name,Description,Quantity,ImageURLs,Category,Inventorization,quantityAvailable,Ед. Изм.,Состояние ,Комментарии От Нечаева ,Комментарии кладовщика ,Ответ проектного отдела 
128,Зеркало настенное ,"Квадратное , размер: высота 60см,ширина 40см",1,https://imgur.com/JLG7Qam,Аренда/Декор ,,1,шт.,Имеются повреждения,,,
129,Зеркало настенное ,"Овальное, размер : высота 50см, ширина 30см",1,https://imgur.com/FBc7yLB,Аренда/Декор ,,1,шт.,Имеются повреждения,,,
130,Таблички со знаками,"Знаки : стоп,парковка",10,https://imgur.com/byZAKls,Аренда/Доп.оборудование,,10,шт.,Имеются повреждения,,,
131,Зонт трость с логотипом Щелково,Механический ,24,https://imgur.com/QrKUsIk,Клиентское оборудование на временное хранение/Щелково,,24,шт.,Рабочее,,,
132,Зонт уличный бежевый,"Для открытых пространств.Высота:148см.(к ним в комплект входит мраморный утяжелитель, фиксатор отдельно) , смотреть позиции ниже",5,https://imgur.com/Pw0teX4,Аренда/Тентовые конструкции,,5,шт.,Рабочее,,,
133,Зонт уличный белый,Аренда/Декорации/Оформление площадки,3,https://imgur.com/Pw0teX4,Аренда/Тентовые конструкции,,3,шт.,Рабочее,,,
134,Игра Джанго,Аренда/Активности/Детские игрушки,1,https://imgur.com/eNqqOTu,Аренда/Аттракционы,,1,компл.,Рабочее,,,
135,Игра настольная Бизиборд,Сборная игрушка-конструктор из древесного материала(морские приключения).,3,https://imgur.com/g3g5QFV,Аренда/Аттракционы,,3,компл.,Рабочее,,"Новая, в упаковке",
136,Игра разума,"Настольная командная игра, которая объеденяет обучение и развлечение,батарейки входят в комплект",1,https://imgur.com/GKyqpiN,Аренда/Аттракционы,,1,компл.,Неизвестно,,,
137,Игра Рандомайзер,,1,https://imgur.com/mh4DBMq,Аренда/Аттракционы,,1,шт.,Неизвестно,,,
138,Игрушка голубь мягкий,Для декора и оформления,5,https://imgur.com/8HgZamC,Аренда/Декор ,,5,шт.,Рабочее,,,
139,Игрушка лошадь,Материал:пластик,8,https://imgur.com/DvzBxyI,Аренда/Аксессуары/Детские игрушки,,8,шт.,Рабочее,,,
140,Изолон для мишени,"Изолон-блок для мишени.Размер; длинна 47, ширина 47 (мишени в комплект не входят , смотреть позицию  мишень бумажная)",1,https://imgur.com/GH8d6U4,Аренда/Аттракционы,,1,шт.,Неизвестно,,,
141,Инсталляция кнопка,Кнопка светящаяся для декора и развлечения,1,https://imgur.com/798NQVT,Аренда/Декор ,,1,шт.,Неизвестно,,,
142,Искусственный газон,"Искуственная трава в рулонах, из синтетических материалов используется в декоративных целях",,https://imgur.com/LUT5bBv,Аренда/Декор ,,,,Неизвестно,,,
143,Кабель подключения 380 Вт,,1,https://imgur.com/yvxfiHi,Аренда/Оргтехника,,1,шт.,Неизвестно,,,
144,"Кабель удлинитель Vention USB 2.0 AM/AF, 2 метра",,1,https://imgur.com/kETjCbQ,Аренда/Оргтехника,,1,шт.,Неизвестно,,,
145,Кабель USB 2.0A на USB 2.0B 3 метра,Для мобильных телефонов и компьютера,1,https://imgur.com/JfWSNsW,Аренда/Оргтехника,,1,шт.,Неизвестно,,,
146,Кабель USB 2.0A на USB 2.0B 3 метра,Для мобильных телефонов и компьютера,1,https://imgur.com/LNXTxhT,Аренда/Оргтехника,,1,шт.,Неизвестно,,,
147,Канат для перетягивания,,1,https://imgur.com/qo0DDTN,Аренда/Аксессуары/Детские игрушки,,1,шт.,Неизвестно,,,
148,Канистра для бензина металлическая 20л.,Для 92 бензина,1,https://imgur.com/IYYvy6q,Расходники/Бытовой,,1,шт.,Рабочее,,,
149,Канистра пластик 20л  для бензина,Для 92 бензина,5,https://imgur.com/5FRhb1m,Расходники/Бытовой,,5,шт.,Рабочее,,,
150,Поп ап большой ,"Используют чтобы предоставить клиенту интересное предложение,а так же информировать о каких либо новостях (каркас для банера)",1,https://imgur.com/Jmgc8bG,Аренда/Тентовые конструкции,,1,компл.,Неизвестно,,,
151,Поп ап маленький,"Используют чтобы предоставить клиенту интересное предложение,а так же информировать о каких либо новостях(каркас для баннра)",1,https://imgur.com/td63Jig,Аренда/Тентовые конструкции,,1,компл.,Неизвестно,,,
152,Каркас квадратной палатки,Конструкция для уличных палаток,1,https://imgur.com/mBSK7sx,Аренда/Тентовые конструкции,,1,компл.,Рабочее,,,
153,Каркас уличного зонта,На него одевается защитная крыша(чехол) так же фиксатор и утяжелитель,5,https://imgur.com/2DExXQo,Аренда/Тентовые конструкции,,5,компл.,Рабочее,,,
154,Картонная коробка с саморезами и карабином,Оборудование/Инструменты/Бензоинструмент,1,https://imgur.com/uNZkfjn,Расходники/Строительные,,1,"компл., шт.",Рабочее,,,
155,Карточки пластиковые в предсказатель,Для  игры в предсказатель,732,https://imgur.com/1EedONc,Полиграфия/ПВХ,,732,шт.,Рабочее,,,
156,Картридж в принтер СS-CF283A,Сменный блок для печати принтера,3,https://imgur.com/ELAeVga,Расходники/Бытовой,,3,шт.,Неизвестно,,,
157,Картридж в принтер HP MFP M125/MFP M127,Оборудование/Электрооборудование/Бытовая электроника/Принтеры,1,https://imgur.com/aEZoghm,Расходники/Бытовой,,1,шт.,Неизвестно,,,
158,Картридж в принтер MLT-D111S,Оборудование/Электрооборудование/Бытовая электроника/Принтеры,2,https://imgur.com/6fI8iIN,Расходники/Бытовой,,2,шт.,Неизвестно,,,
159,Картридж для принтера Canon,Оборудование/Электрооборудование/Бытовая электроника/Принтеры,2,https://imgur.com/BWNjFRb,Расходники/Бытовой,,2,шт.,Неизвестно,,,
160,Каска белая,Головной убор для защиты при ведении монтажных и строительных  работ,47,https://imgur.com/lIJaw6F,Текстиль/Форма для монтажников,,47,шт.,Неизвестно,,,
161,Каска жёлтая,Головной убор для защиты при ведении монтажных и строительных  работ,4,https://imgur.com/8d2dh5C,Текстиль/Форма для монтажников,,4,шт.,Неизвестно,,,
162,Каска крашенная серая,Головной убор для защиты при ведении монтажных и строительных  работ,2,https://imgur.com/baXNyOV,Текстиль/Форма для монтажников,,2,шт.,Неизвестно,,,
163,Игрушка касса детская,Для развлечения детей,2,https://imgur.com/h99usn2,Аренда/Аксессуары/Детские игрушки,,2,шт.,Неизвестно,,,
164,Катушка желтая 50 метров,Удлинитель на катушке с 4-мя розетками,2,https://imgur.com/rpMbLb7,Техника и освещение/Удлинители/переноски,,2,компл.,Рабочее,,,
165,Катушка 30 метров,Удлинитель на катушке с 4-мя розетками,1,https://imgur.com/V1xjc3l,Техника и освещение/Удлинители/переноски,,1,компл.,Рабочее,,,
166,Кашпо белое волна,"Для декора и оформления.Размер:42 литра, высота:63см,ширина:34",8,https://imgur.com/NU6zlrr,Аренда/Декор ,,8,шт.,Рабочее,,,
167,Кашпо ваза для цветов,"Для декора и оформления.Размер:, высота:44см,ширина:23",1,https://imgur.com/tYDW4nD,Аренда/Декор ,,1,шт.,"Неизвестно, Имеются повреждения",,,
168,Кашпо высокое белое с черной вставкой ,"Для декора и оформления.Размер:28,24 , высота:57см,ширина:30",2,https://imgur.com/75aOXWa,Аренда/Декор ,,2,шт.,"Неизвестно, Рабочее",,,
169,Кашпо уличное  деревянное для цветов,"Для открытых помещений , закрытых больших помещений.Размер: 60см высота, 60см ширина,63см глубина",13,https://imgur.com/D6Gu7zD,Аренда/Декор ,,13,шт.,"Неизвестно, Имеются повреждения, Требуется ремонт",,Нужна покраска кашпо,
170,Кашпо уличное пластик для цветов,"Для открытых помещений , закрытых больших помещений.Размер: 48см высота, 50см ширина,50см глубина",3,https://imgur.com/1IscUco,Аренда/Декор ,,3,шт.,Имеются повреждения,,,
171,Полка настенная ,Материал:дерево(можно использовать как поднос) Размер:32/10/28,6,https://imgur.com/b1rONJ9,Аренда/Декор ,,6,шт.,"Имеются повреждения, Рабочее",,,
172,Кашпо с автополивом,"Для декора и оформления.Размер:28,24 литра, высота:45см,ширина:24",2,https://imgur.com/oBEJs5r,Аренда/Декор ,,2,шт.,Рабочее,,,
173,Кашпо серое волна,"Для декора и оформления.Размер:42 литра, высота:63см,ширина:34",2,https://imgur.com/MF7I5Jt,Аренда/Декор ,,2,шт.,Рабочее,,,
174,Кегли,Для игры в боулинг Материал: пластик,9,https://imgur.com/Bwjvnnq,Аренда/Аксессуары/Детские игрушки,,9,компл.,Рабочее,,,
175,Кепка белая Щелково,Головной убор с логотипом,81,https://imgur.com/AVuLD4H,Клиентское оборудование на временное хранение/Щелково,,81,шт.,Рабочее,,,
176,Кисточки для рисования,Инструмент для покраски и живописи.,5,https://imgur.com/aFZptpG,Расходники/Бытовой,,5,шт.,Имеются повреждения,,,
177,Клавиатура,Компьютерная клавиатура проводная,1,https://imgur.com/qH2A9td,Аренда/Оргтехника,,1,шт.,Неизвестно,,,
178,Клей секунда,1г,6,https://imgur.com/SkC3FFW,Расходники/Бытовой,,6,шт.,Рабочее,,,
179,Клей-карандаш маленький,Твердый клей для бумаги,4,https://imgur.com/SFE3fmy,Расходники/Бытовой,,4,шт.,Рабочее,,,
180,Кнопка Х,"Красный звуковой сигнал для игры в виде красной кнопки этот аксессуар для развлекательных мероприятий.Материал:пластик ,заряжаются от 2-х батареек АА(в комплекте нет)",2,https://imgur.com/QP6YR15,Аренда/Аксессуары,,2,шт.,Неизвестно,,,
181,Коврик для йоги,"Профессиональный не скользящий коврик для його и фитнеса.Материал:пенополиэтилен,в комплекте чехол",14,https://imgur.com/G6JwZnj,Аренда/Доп.оборудование,,14,рулон,Рабочее,,,
182,Ковролин зеленый,"Ковровое покрытие относительно мягкое потенциально неограниченной длины имеющее,однотонную расцветку",2,https://imgur.com/b0MP5Zy,Текстиль/Ковролин,,2,рулон,Рабочее,,,
183,Ковролин красный,"Ковровое покрытие относительно мягкое потенциально неограниченной длины имеющее,однотонную расцветку",1,https://imgur.com/5YoZmxB,Текстиль/Ковролин,,1,рулон,Рабочее,,,
184,Ковролин розовый ,"Ковровое покрытие относительно мягкое потенциально неограниченной длины имеющее,однотонную расцветку",1,https://imgur.com/fdNTNGK,Текстиль/Ковролин,,1,рулон,Рабочее,,,
185,Ковролин серый,"Ковровое покрытие относительно мягкое потенциально неограниченной длины имеющее,однотонную расцветку",1,https://imgur.com/OdLm7Ni,Текстиль/Ковролин,,1,рулон,Рабочее,,,
186,Ковролин черный,"Ковровое покрытие относительно мягкое потенциально неограниченной длины имеющее,однотонную расцветку",1,https://imgur.com/coyA5vj,Текстиль/Ковролин,,1,рулон,Рабочее,,,
187,Инсталяция кокошник белый,Красочная светящаяся новогодняя композиция с подсветкой в русском стиле. Материал:каркас из проволки обтянутая тонкой  тканью.( в комплекте есть небольшой пульт управления) работает от сети,2,https://imgur.com/46lRkbj,Аренда/Декор ,,2,компл.,Требуется химчистка,,,
188,Кокошник в русском стиле,"Головной убор , в комплекте с ним идет сарафан в русском стиле(смотреть  позицию ниже)",2,https://imgur.com/Wbd80DM,Текстль/Форма менеджеров,,2,шт.,Рабочее,,,
189,Колеса маленькие,Оборудование/Прочее,6,https://imgur.com/uYWNG83,Инструменты/Ручной инструмент,,6,шт.,Неизвестно,,@constantime  нужно ли это на складе?,
190,Колеса средние,Оборудование/Прочее,4,https://imgur.com/rPWbuLn,Инструменты/Ручной инструмент,,4,шт.,Неизвестно,,@constantime  нужно ли это на складе?,
191,Колесо металл ф20см,Оборудование/Прочее,4,https://imgur.com/KPXuwkJ,Инструменты/Ручной инструмент,,4,шт.,Неизвестно,,@constantime  нужно ли это на складе?,
192,Шапка новогодняя синяя,Аренда/Декорации/Новый Год,3,https://imgur.com/mq9GuFK,Текстиль/Форма менеджеров,,3,шт.,Рабочее,,,
193,Кольца для игр цветные,"Динамичная развивающая игрушка из пластика, набрасываются на закрепленную основу( основы в комплекте нет)",5,https://imgur.com/GBogdxy,Аренда/Аттракционы,,5,шт.,Рабочее,,,
194,Кольца для игр цветные,"Динамичная развивающая игрушка из пластика, набрасываются на закрепленную основу( основы в комплекте нет)",6,https://imgur.com/NHKxncl,Аренда/Аттракционы,,6,компл.,Рабочее,,,
195,Комбинезон монтажный,Защитная одежда для работы на  монтаже,8,https://imgur.com/hWPzfOw,Текстиль/Форма для монтажников,,8,шт.,Рабочее,,,
196,Мойка со сместителем,Материал:хромированная круглая (в комплекте нет столешницы),1,https://imgur.com/7SvZhIq,Аренда/Доп.оборудование/Мойка,,1,компл.,Неизвестно,,Нужно ли нам это ?,
197,Принтер электронной регистрации,"Прибор который осуществляет печать с различной информацией.Комплект:блок питания,коробка.С принтером отдельно входит ноутбук ,где будет заложена информация, лента наклейка.(это есть в отдельных позициях)",3,https://imgur.com/QNIzwYJ,Техника и освещение/Оргтехника,,3,компл.,Рабочее,,,
198,Конструктор,Игровой набор для детского моделирования состоящий из разноцветных деталей разного размера.Материал:пластик,4,https://imgur.com/lncN450,Аренда/Аксессуары/Детские игрушки,,4,компл.,Рабочее,,,
199,Конструкция под циферблат Ф2м,Материал: метал.На такую конструкцию крепится макет часов для различных мероприятии,1,https://imgur.com/CsYBFUh,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
200,Конус сигнальный большой,"Дорожные сигнальные конус материал: пластик, ярко оранжевые на них присутствуют белые светотражающие полосы.",7,https://imgur.com/Be5nTtX,Аренда/Доп.оборудование,,7,шт.,Рабочее,,,
201,Корзина для белья,Корзина высокая с крышкой для хранения белья.Материал:пластик,2,https://imgur.com/DV15y8c,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
202,Корзина плетенная,Для хранения мелких вещей сплетена из скрученной бумаги в жгуты на металлическом каркасе,1,https://imgur.com/SG0wE5n,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
203,Корзина плетеная прямоугольная пластик,"Для хранения , материал:пластик , бежевая",2,https://imgur.com/BUcOBu1,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
204,Корзина под мусор,"Плетеная , материал:пластик",6,https://imgur.com/hFDgpP7,Аренда/Доп.оборудование,,6,шт.,Рабочее,,,
205,Корзинка ,"Плетеная , материал:пластик,белая",1,https://imgur.com/Hob8tPf,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
206,Корзинка ,"Плетеная , материал:пластик,белая",1,https://imgur.com/KimhoZ4,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
207,Корзинка плетеная,"Для хранения , материал:пластик , коричневая",6,https://imgur.com/3xLw5i1,Аренда/Доп.оборудование,,6,шт.,Рабочее,,,
208,Корзина ,"Под мусор белая плетеная , материал:пластик",2,https://imgur.com/tZwqZEv,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
209,Корзинка плетеная,"Для хранения,материал:пластик,розовая",1,https://imgur.com/yaAGmLI,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
210,Корзины сборные,"Материал:фанера , с ручками из ротанга",9,https://imgur.com/F2CNiLa,,,9,компл.,Рабочее,,,
211,Коробка,"С крышкой прямоугольная , материал: дерево",1,https://imgur.com/EE6hHou,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
213,Коробка ,"Без крышки с ручками ,материал: дерево",2,https://imgur.com/c2LBnkG,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
215,Коробка ,"В виде тубы для хранения,материал: картон",1,https://imgur.com/fLN1huG,Расходники/Картонная коробка,,1,шт.,Рабочее,,,
216,Кубики,"Квадратные разноцветные,материал:пластик",1,https://imgur.com/tSLeshQ,Аренда/Аксессуары/Детские игрушки,,1,компл.,Имеются повреждения,,,
217,Веревки шпагат,,3,https://imgur.com/Cr8WPKB,Расходники/Бытовой,,3,маток,Рабочее,,,
219,Дождевик -пончо,"На липучке ,материал: полиэтилен",240,https://imgur.com/RLNh0Mf,Расходники/Бытовой,,240,шт.,Рабочее,,,
221,Набор карандашей в пластиковом контейнере,Цветные  в ассортименте,1,https://imgur.com/NIP09Mg,Расходники/Бытовой,,1,набор,Рабочее,,,
222,Картриджы,Для принтера ,7,https://imgur.com/15v2QeR,Расходники/Бытовой,,7,шт.,Неизвестно,,,
223,Колья,"Для крепления  палаток, шатров на открытых территориях",35,https://imgur.com/lIyUzUt,Инструменты/Ручной инструмент,,35,шт.,Рабочее,,,
224,Коробка с малярным инструментом,Для ремонта оборудования,1,https://imgur.com/vVW5v1o,Расходники/Строительные,,1,шт.,Неизвестно,,,
225,Коробка с новогодними подарками,Для оформления мероприятий на новогодние праздники,1,https://imgur.com/P01tY9t,Аренда/Декор ,,1,шт.,Рабочее,,,
228,Флажки,"Бумажные , вешаются на веревку",200,https://imgur.com/NZkjrsy,Аренда/Декор ,,200,компл.,Рабочее,,,
229,Коробка деревянная большая с крышкой,Для хранения крупного оборудования,1,https://imgur.com/GiO16xD,Аренда/Доп.оборудование,,1,компл.,Рабочее,,,
230,Кость (игральный кубик) большой,"Кубик игровой ,большой для открытых пространств,материал:пенопласт",1,https://imgur.com/OAgheZM,Аренда/Декор ,,1,шт.,Требуется ремонт,,,
231,Костюм женский,"Костюм зеленый в комплект (брюки,пиджак) размер 48",3,https://imgur.com/Kejviy3,Текстиль/Форма менеджеров,,3,компл.,Рабочее,,,
232,Костюм клоуна,"Костюм карнавальный, комплект:кофта,штаны,воротник, колпак",2,https://imgur.com/E0tR6ob,Текстиль/Форма менеджеров,,2,компл.,Рабочее,,,
233,Костюм мушкетера детский,"Костюм карнавальный ,комплект:штаны,кофта",1,https://imgur.com/InTdFBV,Аренда/Аттракционы,,1,компл.,Рабочее,,,
234,Кофемашина Nespresso,В комплекте нет капсул,1,https://imgur.com/50E5wSt,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
235,Уголок крепежный ,Предназначены для соединения деревянных и металлических конструкций 50х50х35мм,9,https://imgur.com/8q5ADl8,Расходники/Строительные,,9,шт.,Неизвестно,,,
236,Уголок крепежный усиленный,Предназначены для соединения деревянных и металлических конструкций 50х50х35мм,19,https://imgur.com/CPXYnIq,Расходники/Строительные,,19,шт.,Неизвестно,,,
237,Уголок мебельный широкий,"Предназначены для соединения деревянных и металлических конструкций 40х/40х/40х/1,8мм",11,https://imgur.com/3hoBf1h,Расходники/Строительные,,11,шт.,Неизвестно,,,
238,Уголок крепежный ,Предназначены для соединения деревянных и металлических конструкций 40/60/60,7,https://imgur.com/TGTOKfs,Расходники/Строительные,,7,шт.,Неизвестно,,,
239,Уголок крепежный ,Предназначены для соединения деревянных и металлических конструкций 60/40/40,27,https://imgur.com/IB6Z5do,Расходники/Строительные,,27,шт.,Неизвестно,,,
240,Уголок крепежный ,Предназначены для соединения деревянных и металлических конструкций 47/47/47,7,https://imgur.com/LgrDcvk,Расходники/Строительные,,7,шт.,Неизвестно,,,
241,Держатели для надувных шаров,"Пластиковый держатель , для того чтобы шарик держался в горизонтальном положении",400,https://imgur.com/CfPjgvt,Аренда/Доп.оборудование,,400,компл.,Рабочее,Это не крепления!! ПОменять на корректное название ,,
242,Кресло Астер черное,"Одноместное , деревянный каркас обивка черная искуственная кожа. может идти в комплекте с 2-х или 3-х местным диваном Астер(смотреть позиции выше)",2,https://imgur.com/2GbUGBc,Аренда/Мебель/Диваны и кресла ,,2,компл.,Рабочее,,,
243,Кресло ,"На деревянных ножках , обивка:искусственная кожа",2,https://imgur.com/eFhaY0s,Аренда/Мебель/Диваны и кресла ,,2,шт.,Продажа,,,
244,Кресло Груша,"Бескаркасные  кресла-мешки наполнены гранулами пенополистирола( в комплекте отдельно чехол , смотреть позицию ниже)",35,https://imgur.com/kSyVq2d,Аренда/Мебель/Диваны и кресла ,,35,компл.,Имеются повреждения,,Нужно наполнить кресла наполнителем,
245,Кресло ,"На металлическом каркасе с ножками , материал : искусственная кожа",4,https://imgur.com/f2z3zkj,Аренда/Мебель/Диваны и кресла ,,4,шт.,"Имеются повреждения, Требуется химчистка",,,
246,Крестики нолики,"Игра на открытых пространствах, материал:дерево",1,https://imgur.com/uXM9owt,Аренда/Аттракционы,,1,компл.,Рабочее,,,
247,Кружки,Керамические в асс-те,34,https://imgur.com/gdnVKNQ,Расходники/Бытовой,,34,шт.,Имеются повреждения,,Привозили с офиса,
248,Кружки ,Железные с ручкой,2,https://imgur.com/RJbb3Xx,Расходники/Бытовой,,2,шт.,Неизвестно,,,
249,Кружки офис,"В асс-те , материал:керамика",9,https://imgur.com/b1W0DI3,Расходники/Бытовой,,9,шт.,Неизвестно,,,
250,Кувалда большая 2кг с пластиковой ручкой,"Ручной ударный инструмент,предназначенный для боя камня,нанесения сильных ударов при обработке металла на демонтаже и монтаже конструкций",2,https://imgur.com/zDaFT4Y,Инструменты/Ручной инструмент,,2,шт.,Неизвестно,,,
251,Кувалда большая 3 кг с деревянной ручкой,"Ручной ударный инструмент,предназначенный для боя камня,нанесения сильных ударов при обработке металла на демонтаже и монтаже конструкций",1,https://imgur.com/XA9seJc,Инструменты/Ручной инструмент,,1,шт.,Неизвестно,,,
252,"Кувалда малая 1,5 кг","Ручной ударный инструмент,предназначенный для боя камня,нанесения сильных ударов при обработке металла на демонтаже и монтаже конструкций",1,https://imgur.com/vdLokEC,Инструменты/Ручной инструмент,,1,шт.,Неизвестно,,,
253,Кувалда мини Dexter,"Ручной ударный инструмент,предназначенный для боя камня,нанесения сильных ударов при обработке металла на демонтаже и монтаже конструкций",3,https://imgur.com/ISK4o3O,Инструменты/Ручной инструмент,,3,шт.,Неизвестно,,,
254,Кувалда мини Ineco,"Ручной ударный инструмент,предназначенный для боя камня,нанесения сильных ударов при обработке металла на демонтаже и монтаже конструкций",1,https://imgur.com/ekGmM9j,Инструменты/Ручной инструмент,,1,шт.,Неизвестно,,,
255,Кувшин ,Материал:стекло,1,https://imgur.com/KnfSWOE,Расходники/Бытовой,,1,шт.,Рабочее,,,
256,Кулер AquaWell,"Напольный  , подача холодгной и горячей воды , цет мрамор(вода в комплект не входит) в комплекте деревянный короб для перевозки",2,https://imgur.com/wNCEwTh,Аренда/Доп.оборудование,,2,компл.,Имеются повреждения,,Царапины по корпусу,
257,Кулер AquaWork,"Напольный  , подача холодгной и горячей воды , цет мрамор(вода в комплект не входит) в комплекте деревянный короб для перевозки",1,https://imgur.com/VVb4xQU,Аренда/Доп.оборудование,,1,компл.,Имеются повреждения,,Царапины по корпусу,
258,Кулер EcoTronic,"Напольный  , подача холодгной и горячей воды , цет мрамор(вода в комплект не входит) в комплекте деревянный короб для перевозки",1,https://imgur.com/Sl4uZl6,Аренда/Доп.оборудование,,1,компл.,Имеются повреждения,,Царапины по корпусу,
260,Кулер SMix,"Напольный  , подача холодгной и горячей воды , цет мрамор(вода в комплект не входит) в комплекте деревянный короб для перевозки",1,https://imgur.com/8dPnU0y,Аренда/Доп.оборудование,,1,компл.,Имеются повреждения,,Царапины по корпусу,
261,Куртка бригадирская,Одежда для бригадира монтажников,2,https://imgur.com/HSfRzdI,Текстиль/Форма для монтажников,,2,шт.,Рабочее,,,
262,Куртка зеленая,Одежда мантажников,2,https://imgur.com/jFt6sUO,Текстиль/Форма для монтажников,,2,шт.,Рабочее,,,
263,Куртка серая,Одежда монтажников,2,https://imgur.com/ioTG5rF,Текстиль/Форма для монтажников,,2,шт.,Рабочее,,,
264,Куртки ЩЁЛКОВО серые,Ветровки,12,https://imgur.com/BKDgO7V,Клиентское оборудование на временное хранение/Щелково,,12,шт.,Рабочее,,,
265,Кусачки торцевые,,1,https://imgur.com/uuoDvWB,,,1,,Неизвестно,,,
266,Лазерный нивелир,"Лазерный уровень , высокая точность измерения,может автоматически завершить операцию без ручного вмешательства",2,https://imgur.com/7KHBgRN,Инструменты/Ручной инструмент,,2,шт.,Рабочее,,,
267,Лампа светодиодная,"Корпус:пластик,металл работает через шнур в розетку",1,https://imgur.com/2PaygHz,Аренда/Техника и освещение,,1,шт.,Неизвестно,,,
268,"Лампа дневного освещения ""Перфекто""","Корпус:пластик,металл работает через шнур в розетку",1,https://imgur.com/W8Xha1U,Аренда/Техника и освещение,,1,шт.,Неизвестно,,,
269,Лампа ультрафиолет TL-3011,,3,https://imgur.com/VzW63Rh,Аренда/Техника и освещение,,3,,Неизвестно,,,
270,Лампочка,Работает работает через(Wi-Fi) цоколь Е27,1,https://imgur.com/jF6sF2d,Аренда/Техника и освещение,,1,шт.,Неизвестно,,,
271,Лампочка в прожектор,Матовая цоколь Е27,1,https://imgur.com/wnEQm0k,Аренда/Техника и освещение,,1,шт.,Неизвестно,,,
273,Лампочки светодиодные,Оборудование/Электрооборудование/Освещение,100,https://imgur.com/tnmv5Nu,Расходники/Бытовой,,100,шт.,Неизвестно,,,
274,Лампы для ретро гирлянды,"Маленькие шарообразные , цоколь Е14",57,https://imgur.com/p8i0iVc,Расходники/Бытовой,,57,компл.,Неизвестно,,,
276,Ланъярды желтые,Лента для бейджа с металлическим карабином(бейджа в комплекте нет),85,https://imgur.com/fLifJDl,Аренда/Доп.оборудование,,85,шт.,Рабочее,,,
277,Ланъярды красные,Лента для бейджа с металлическим карабином(бейджа в комплекте нет),51,https://imgur.com/tXw6ECz,Аренда/Доп.оборудование,,51,шт.,Рабочее,,,
278,Ланъярды оранжевые,Лента для бейджа с металлическим карабином(бейджа в комплекте нет),31,https://imgur.com/Pja7yAh,Аренда/Доп.оборудование,,31,шт.,Рабочее,,,
279,Ланъярды синие,Лента для бейджа с металлическим карабином(бейджа в комплекте нет),92,https://imgur.com/9Y5v6wO,Аренда/Доп.оборудование,,92,шт.,Рабочее,,,
280,Лейка зеленая,Пластиковая для полива растений можно использовать для декора,2,https://imgur.com/hbZpvc0,Аренда/Доп.оборудование,,2,шт.,Рабочее,,,
281,Лента атласная,Применяются в упаковке подарков и праздничной декорации,6,https://imgur.com/vPiSuwT,Расходники/Бытовой,,6,катушка,Рабочее,,,
282,Лента георгиевская,Символ День Победы,1600,https://imgur.com/22uiM1h,Расходники/Бытовой,,1600,шт.,Рабочее,,,
283,Лента для принтера,"Для принтера электронной регистрации , липкая с одной стороны ( с ней в комплект должен входить ноутбук и принтер)",6,https://imgur.com/duUEZqT,Расходники/Бытовой,,6,шт.,Рабочее,,,
284,Лента,Для завязывания надувных шаров,1,https://imgur.com/PtYF8pD,Расходники/Бытовой,,1,катушка,Неизвестно,,,
285,Лента разноцветные в пакете,"Разноцветная лента для декора ,материал:шелк",1,https://imgur.com/FdhN9OB,Расходники/Бытовой,,1,шт.,Неизвестно,,,
286,Ланъярды белые,Лента с логотипом BRIGHT,16,https://imgur.com/tjXIZKp,Аренда/Доп.оборудование,,16,шт.,Рабочее,,,
287,Линейка ,"Размер:50см, пластик",1,https://imgur.com/TSpj80K,Аренда/Доп.оборудование,,1,шт.,Рабочее,,,
288,Линейка ,"Размер:30см,пластик",4,https://imgur.com/Q6cI6RJ,Аренда/Доп.оборудование,,4,шт.,Рабочее,,,
289,Лисий костюм,"Меховая голова . Комплект:голова,меховые тапки",1,https://imgur.com/39eVGbk,Текстиль/Форма менеджеров,,1,компл.,Требуется химчистка,,"В плохом состоянии, нужно утилизировать или  химчистка( плохой запах )",
290,Лонгслив+леггинсы,"В комплект входит:легинсы и кофта,материал:стрейч",1,https://imgur.com/AVgjbx2,Текстиль/Форма менеджеров,,1,компл.,Неизвестно,,,
291,Лототрон,Функциональный инструмент для проведения розыгрышей и лотерей,1,https://imgur.com/T1aknHr,Аренда/Аттракционы,,1,шт.,Неизвестно,,,
292,Лототрон маленький,Функциональный инструмент для проведения розыгрышей и лотерей,1,https://imgur.com/dld7KhM,Аренда/Аттракционы,,1,шт.,Неизвестно,,,
293,Лыжи гигантские,"Декоративные для оформления мероприятий, материал:дерево",1,https://imgur.com/95RGMDA,Аренда/Декор ,,1,пара.,Имеются повреждения,,Нужна покраска,
294,Магнитные буквы,"Для составления слов на магнитной доске(доски в комплекте нет),материал:пластик на магните.",1,https://imgur.com/kb0QzY9,Аренда/Аксессуары/Детские игрушки,,1,компл.,Рабочее,,,
